"3D Secure Card Validation","3D安全验证卡"
"3D Secure Cardholder Validation","3D安全验证持卡人"
"3D Secure CAVV","3D安全CAVV"
"3D Secure Electronic Commerce Indicator","3D安全电子商务指标"
"3D Secure Verification Result","3D安全验证结果"
"3D Secure XID","3D安全的XID"
"Card Issuer Liability","发卡机构的法律责任"
"Card Verification","信用卡验证"
"Enrolled","登记"
"Enrolled but Authentication Unavailable","验证登记，但不可用"
"Failed","失败"
"MasterCard SecureCode","主人的卡安全码"
"Merchant Liability","商家法律责任"
"Not Enrolled","没有参加"
"Order cannot be placed.","没有下订单"
"Payment information error. Please start over.","支付信息出错,请稍后再试"
"Please continue with placing order.","请继续下单"
"Please verify the card with the issuer bank before placing the order.","请确认在订购前与发行人的银行卡"
"Please verify the card with the issuer bank:","请验证与发行人银行卡："
"Start/Reset Validation...","启动/复位验证..."
"Successful","成功"
"Successful attempt","尝试成功"
"The card has failed verification with the issuer bank.","发卡银行验证该卡已失效"
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","目前已提交付款信息错误或时间限制已过期.请再试一次."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","目前已提交付款信息错误或时间限制已过期.请再试一次."
"This card has failed validation and cannot be used.","此卡已验证失败,无法使用."
"This card has failed validation, but it is possible to place the order.","此卡已验证失败,但它可能再下订单."
"To ensure the security of your transactions","为确保您的交易安全"
"Unable to complete","无法完成"
"Validation failed.","验证失败"
"Verification cannot be processed","无法处理验证"
"Verification Failed","验证失败"
"Verification Successful","验证成功"
"Verified by Visa","Visa验证"
