"(eg: domain.com/identifier)","(例如：domain.com/identifier)"
"A block identifier with the same properties already exists in the selected store.","一块相同的属性标识符与已经存在于选定的商店."
"A directory with the same name already exists. Please try another folder name.","一个跟目录有相同的名称已存在.请试另一个名字."
"A page URL key for specified store already exists.","一个页面中的URL所指定的商店已存在."
"Action","操作"
"Add New Block","增加新方框"
"Add New Page","增加新页面"
"All countries","所有国家"
"An error occurred while saving the page.","保存页面时出错."
"Anchor Custom Text","自定义的锚文本"
"Anchor Custom Title","自定义的锚标题"
"Are you sure you want to delete current folder?","您确定要删除当前文件夹？"
"Are you sure you want to delete the selected file?","您确定要删除选定的文件夹？"
"Block","方框"
"CMS","内容管理"
"Block Information","方框信息"
"Block Title","方框标题"
"Block was successfully deleted","成功删除方框"
"Block was successfully saved","成功保存方框"
"Cannot create new directory.","Cannot create new directory."
"Cannot delete directory %s.","Cannot delete directory %s."
"Cannot delete root directory %s.","不能删除根目录%s."
"Cannot upload file.","不能上传文件."
"CMS Home Page","CMS 首页"
"CMS No Cookies Page","CMS No Cookies页面"
"CMS No Route Page","CMS 缺失页面"
"CMS No-Route Page","CMS 缺失页面"
"CMS Page","CMS 页面"
"CMS Page Link","CMS 页面链接"
"CMS Page Link Block Template","CMS 页面链接方框模块"
"CMS Page Link Inline Template","CMS 页面链接内嵌模块"
"CMS Pages (All)","CMS 页面(所有)"
"CMS Static Block","CMS 静态方框"
"CMS Static Block Default Template","CMS 静态的方框默认模块"
"Collapse All","全部折叠"
"Content","内容"
"Custom Design","自定义设计"
"Custom Theme","自定义主题"
"Custom Theme From","自定义主题自"
"Content Heading","Content Heading"
"Content Management","Content Management"
"Contents of a Static Block","Contents of a Static Block"
"Create Folder...","创建文件夹..."
"Custom Design","自定义设计"
"Custom Design From","自定义设计形式"
"Custom Design To","自定义设计在"
"Custom Layout","自定义布局"
"Custom Layout Update XML","自定义布局更新XML"
"Custom Theme To","自定义主题到"
"Customer Tax Class Information","自定义税率信息"
"Date Created","创建日期"
"Delete Block","删除方框"
"Delete File","删除文件"
"Delete Folder","删除文件夹"
"Delete Page","删除页面"
"Description","描述"
"Design","设计"
"Disabled","关闭"
"Disabled by Default","默认禁用"
"Disabled Completely","完全禁用"
"Edit Block","修改方框"
"Edit Block '%s'","修改方框'%s'"
"Edit Page","修改页面"
"Edit Page '%s'","修改页面'%s'"
"Enable WYSIWYG Editor","实用的在线编辑器"
"Enabled","启用"
"Enabled by Default","默认可用"
"Expand All","展开所有"
"General Information","基本信息"
"Go to Home Page","希思黎网上商城首页"
"Home","希思黎网上商城首页"
"ID","ID"
"Identifier","标识符"
"If empty, the Page Title will be used","如果为空,页面标题将被使用"
"Images (%s)","图像(%s)"
"Insert File","插入文件"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","无效的文件夹名称.请用字母,标点符号和横线."
"Keywords","关键字"
"Last Modified","最后修改"
"Layout","版面"
"Layout Update XML","版面更新XML"
"Link to a CMS Page","链接到一个CMS页面"
"Manage Pages","管理页面"
"Media Storage","媒介存储"
"Meta Data","Meta 数据"
"Meta Description","Meta 描述"
"Meta Keywords","Meta 关键字"
"New Block","新方框"
"New Folder Name:","新文件夹名称:"
"New Page","新页面"
"No files found","文件未找到"
"Page Identifier cannot consist only of numbers.","页面标识符不能只含数字。"
"Page Identifier for specified store already exist.","输入的商店页面标识符已存在。"
"Page Information","页面信息"
"Page Layout","页面布局"
"Page Status","页面状态"
"Page Title","页面标题"
"Page was successfully deleted","成功删除页面"
"Page was successfully saved","成功保存页面"
"Poll Manager","投票管理"
"Product Tax Class Information","商品税率信息"
"Pages","页面管理"
"Save Block","保存方框"
"Save Page","保存页面"
"SEF URL Identifier","搜索引擎友好网址的标识符"
"Show breadcrumbs for CMS pages","显示CMS页面导航条"
"px.","像素."
"Save Process","保存程序"
"Select Block...","选择方框..."
"Select Page...","选择页面..."
"Show Notice if JavaScript is Disabled","如果JavaScript不可用时显示通知"
"Redirect to CMS-page if Cookies are Disabled","如果cookies不可用,则重定向到CMS页面"
"Relative to Website Base URL","相对于网站基本URL"
"Static Blocks","静态块管理"
"Status","状态"
"Storage Root","贮藏根"
"Store View","商店界面"
"Such a block identifier in selected store already exist.","选择商店的方框标识符已存在。"
"The page you are trying to save no longer exists","要保存的页面不存在"
"This block no longer exists","该方框不存在"
"This page no longer exists","该页面不存在"
"Template","模板"
"The block has been deleted.","已删除方框."
"The block has been saved.","已保存方框."
"The directory %s is not writable by server.","此目录%s是不可通过服务器改写."
"The page has been deleted.","页面已删除."
"The page has been saved.","页面已保存."
"The page URL key cannot consist only of numbers.","此页面的URL字符不仅仅限于数字."
"This block no longer exists.","该方框不存在."
"This page no longer exists.","该页面不存在."
"Title","标题"
"Unable to find a block to delete","没有找到要删除的方框"
"Unable to find a page to delete","没有找到要删除的页面"
"URL Key","URL Key"
"WYSIWYG Options","可见选项"
