"Collected Files Count","收集的文件数"
"Compilation","编译"
"Compilation State","编译状态"
"Compilation error","编译错误"
"Compiled","编译"
"Compiled Scopes Count","编译作用域计数 "
"Compiler Status","编译器状态 "
"Compiler include path is disabled.","编译器包含路径被禁用 "
"Compiler include path is enabled.","编译器包含路径已启用 "
"Directory ""%s"" must be writeable","目录""%s""必须可写"
"Disable","禁用"
"Disabled","禁用的"
"Enable","可用"
"Enabled","可用的"
"File ""%s"" must be writeable","文件""%s""必须可写"
"Not Compiled","没有编译 "
"Run Compilation Process","运行编译过程 "
"Scopes Compilation Settings","编译设置范围 "
"System","系统"
"The compilation has completed.","编译已完成 "
"Tools","工具"
