"%s Index process is working now. Please try run this process later.","%s 索引进程正在运行.请稍后再试."
"%s index was rebuilt.","%s 索引已重建."
"%s' Index Process Information","%s' 索引进程信息"
"Action","操作"
"Cannot initialize the indexer process.","无法初始化索引进程."
"Change Index Mode","改变索引模式 "
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","点击这里进行<a href=""%s"">Cache缓存管理</a>并刷新缓存类型."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","点击这里进行<a href=""%s"">索引管理</a>和重建所需的索引."
"Description","描述"
"Disable","禁用"
"Enable","可用"
"General","一般"
"Index","索引的描述 "
"Index Description","索引描述 "
"Index Management","索引管理"
"Index Mode","索引模式"
"Index Name","索引名称"
"Index mode","索引模式"
"Indexer code is not defined.","未定义索引代码"
"Indexer model is not defined.","未定义索引模型"
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","索引器的模型应该扩展于类Mage_Index_Model_Indexer_Abstract."
"Last Run","上次运行 "
"Manual Update","手动更新 "
"Mode","模式"
"Never","从不"
"One or more of the Indexes are not up to date:","123"
"Pending Events","挂起的事件 "
"Please select Index(es)","请选择索引"
"Please select Indexes","请选择索引"
"Process Information","进程信息"
"Processing","处理中"
"Ready","准备"
"Refresh","刷新"
"Reindex Data","重建索引数据"
"Reindex Required","需要重建索引"
"Status","状态"
"System","系统"
"The index has been saved.","已保存索引."
"There was a problem with reindexing process.","重建索引出错."
"There was a problem with saving process.","保存进程出错."
"Total of %d index(es) have changed index mode.","总共%d个索引已经改变索模型."
"Total of %d index(es) have reindexed data.","总共%d个索引已经重建索引数据."
"Update on Save","在保存时更新 "
