"Billing Information","账单信息"
"Change Payment Method","修改支付方式"
"Change Shipping Address","修改配送地址"
"Edit Shopping Cart","修改购物车"
"Email","电子邮件"
"Incl. Tax","含税"
"Items in Your Shopping Cart","购物车中商品"
"No shipping method required.","不要求寄送方式"
"Payment Method","支付方式"
"PayPal Account","PayPal 帐户"
"PayPal Email","PayPal 邮件"
"Place an Order","下订单"
"Please select a shipping method...","请选择配送方式..."
"Express Checkout and Order have been canceled.","已取消快速结账和订单."
"Express Checkout has been canceled.","已取消快速结账."
"Fetch","取出"
"PayPal Express Checkout Token does not exist.","Paypal快速结账不存在."
"PayPal Express Order Review Form","PayPal快速订单评论表"
"PayPal Settlement Reports","PayPal结算报告"
"Pending PayPal","待定PayPal"
"Reports","报告"
"Sales","销售"
"Solo","Solo"
"Switch/Maestro","Switch/Maestro"
"Unable to cancel Express Checkout.","无法取消快速结账."
"Unable to initialize Express Checkout review.","无法初始化快速结账的评论."
"Unable to place the order.","无法下订单."
"Unable to process Express Checkout approval.","无法处理快速结账的批准."
"Unable to start Express Checkout.","无法开始快速结账."
"Unable to update shipping method.","无法更新配送方式."
"View","界面"
"View Transaction","交易界面"
"Wrong PayPal Express Checkout Token specified.","错误的Paypal快速交易指定."
"Price","价格"
"Product Name","商品名称"
"Qty","数量"
"Review Order","查阅订单"
"Shipping Address","配送地址"
"Shipping Information","配送信息"
"Shipping Method","配送方式"
"Sorry, no quotes are available for this order at this time.","对不起，目前没有该订单的报价。"
"Submitting order information...","提交订单信息..."
"Subtotal","小计"
"Update Shipping Method","更新配送方式"
"You will be redirected to Paypal in a few seconds.","您将会在几秒钟后跳转到Paypal页面"
"You will be redirected to PayPal website when you place an order.","下订单时，会转向PayPal网站。"
"Your billing address will be ignored and you will be redirected to PayPal website","不采用您的账单地址，将转向PayPal网站"
